No.	Nama	Jenis Cuisine	Alamat	Rating	Jumlah Ulasan	Sumber Rating	Area
70	Salvatore Cuomo	Italian		4,5	-	Google	Gunawarman, Jakarta Selatan
71	Lara Djonggrang	Indonesian Fine Dining	RSVP only at 0811-9108-966, Jl. Teuku Cik Ditiro No.4, RT.3/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia	4,5	2173	Google	Menteng, Jakarta Pusat
72	Tugu Kunstkring Paleis	Indonesian / Western	RSVP/Order Online only at 0812-8240-0860, Jl. Teuku Umar No.1, RT.1/RW.1, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia	4,6	4718	Google	Menteng, Jakarta Pusat
73	Namaaz Dining	Indonesian (Molecular)	Jl. Brawijaya VIII No.6A, RT.2/RW.3, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia	4,6	920	Google	Kebayoran Baru, Jakarta Selatan
74	Plataran Menteng	Indonesian	Jl. HOS. Cokroaminoto No.42, RT.6/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia	4,7	5002	Google	Menteng, Jakarta Pusat
75	Kaum Jakarta	Indonesian (Regional)	Jl. Dr. Kusuma Atmaja No.77-79, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia	4,6	4180	Google	Menteng, Jakarta Pusat
76	August Jakarta	Indonesian Tasting Menu	Sequis Tower - Ground Floor #03-02, Jl. Jenderal Sudirman No.Kav. 71, RT.5/RW.3, Senayan, Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,6	378	Google	Sudirman, Jakarta Selatan
77	Cafe Batavia	Indonesian / Western	Jl. Kali Besar Timur 4 No.14, RT.7/RW.6, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia	4,5	9334	Google	Kota Tua, Jakarta Barat
78	Giyanti Coffee Roastery	Cafe / Coffee	Jl. Surabaya No.20, RT.15/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia	4,6	4278	Google	Menteng, Jakarta Pusat
79	Anomali Coffee	Cafe / Coffee	Jl. Teuku Cik Ditiro No.52, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia	4,5	5024	Google	Menteng, Jakarta Pusat
80	1/15 Coffee	Cafe / Coffee	Jl. Dr. Kusuma Atmaja No.79 10, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia	4,5	2708	Google	Menteng, Jakarta Pusat
81	Lucky Cat Coffee & Kitchen	Cafe	Parkir Selatan Plaza Festival, Jl. H. R. Rasuna Said No.C22 2, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia	4,4	5626	Google	Kuningan, Jakarta Selatan
82	Bakoel Koffie	Cafe / Coffee	Jl. Cikini Raya No.25, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia	4,4	6119	Google	Cikini, Jakarta Pusat
83	Arborea Cafe	Cafe	Manggala Wanabakti complex, Jl. Gatot Subroto No.1, RT.1/RW.3, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270, Indonesia	4,5	3501	Google	Gatot Subroto, Jakarta Pusat
84	Blumchen Coffee	Cafe	Fairground SCBD Lot 14, Jl. Jend. Sudirman kav 52-53 No.Kav 52-53 5, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,5	435	Google	SCBD, Jakarta Selatan
